State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,
ALABAMA,Bibb,20,0,2,1,17,138,54,71,13,,
,Chilton,328,0,9,3,316,477,159,312,6,,
,Colbert,169,0,6,4,159,563,122,418,23,,
,Elmore,58,0,13,16,29,688,231,420,37,,
,Geneva,28,0,5,2,21,226,82,118,26,,
,Hale,63,2,3,7,51,219,86,99,34,,
,Henry,22,1,2,0,19,119,34,74,11,,
,Houston,31,0,10,10,11,525,103,364,58,,
,Jefferson,637,5,62,282,288,"5,960","2,358","3,103",499,,
,Lauderdale,61,1,13,3,44,972,323,594,55,,
,Lawrence,35,0,1,3,31,505,179,310,16,,
,Lee,103,3,20,24,56,"1,850",643,"1,095",112,,
,Limestone,38,1,6,8,23,380,103,241,36,,
,Madison,224,0,20,38,166,"2,506",810,"1,464",232,,
,Mobile,223,9,24,84,106,"2,431",778,"1,385",268,,
,Montgomery,52,0,6,9,37,720,225,405,90,,
,Morgan,28,2,3,4,19,388,231,155,2,,
,Russell,97,2,5,8,82,336,137,163,36,,
,Shelby,77,0,15,15,47,"1,029",428,517,84,,
,St. Clair,38,0,8,5,25,324,119,181,24,,
,Tuscaloosa,229,2,21,32,174,"1,807",570,"1,041",196,,
,Walker,46,1,8,14,23,"1,024",279,673,72,,
ALABAMA,Baldwin,137,3,18,22,94,"1,094",339,685,70,,
,Barbour,18,0,1,0,17,60,57,0,3,,
,Butler,21,0,2,1,18,226,95,124,7,,
,Chambers,20,0,4,3,13,186,69,108,9,,
,Cherokee,15,0,0,0,15,150,37,113,0,,
,Clay,10,0,3,0,7,128,55,66,7,,
,Cleburne,27,0,0,3,24,211,76,113,22,,
,Conecuh,7,1,0,0,6,87,37,48,2,,
,Coosa,24,0,3,1,20,260,100,155,5,,
,Covington,12,2,6,1,3,67,33,33,1,,
,Crenshaw,11,1,2,0,8,170,59,94,17,,
,Cullman,134,1,29,5,99,"1,249",351,828,70,,
,Dale,47,0,2,1,44,165,57,102,6,,
,Dallas,53,0,4,9,40,586,168,364,54,,
,Escambia,26,0,2,6,18,163,48,105,10,,
,Fayette,7,0,2,2,3,103,40,49,14,,
,Franklin,15,0,4,0,11,123,47,67,9,,
,Jackson,53,0,9,0,44,558,180,281,97,,
,Macon,53,1,5,3,44,315,131,130,54,,
,Marengo,20,0,3,3,14,164,54,92,18,,
